Date,Open,Low,Close,Volume
2016-08-24,796.859985,790.76001,793.599976,1283600
2016-08-25,792.0,787.22998,791.299988,1202700
2016-08-26,792.48999,789.409973,793.219971,1248900
2016-08-29,793.049988,790.320007,795.820007,766500
2016-08-30,792.880005,789.469971,791.919983,1167400
2016-08-31,789.599976,787.200012,789.849976,1071400
2016-09-01,791.97998,786.330017,791.400024,1303500
2016-09-02,795.27002,793.26001,796.869995,1349900
2016-09-06,798.390015,795.429993,808.02002,1989500
2016-09-07,807.929993,803.719971,807.98999,1145300
2016-09-08,805.219971,801.01001,802.840027,1175200
2016-09-09,798.77002,788.049988,788.47998,1887600
2016-09-12,784.52002,783.5,798.820007,1863700
2016-09-13,794.01001,784.330017,788.719971,1809000
2016-09-14,787.530029,787.530029,790.460022,1292100
2016-09-15,790.01001,788.659973,801.22998,1557200
2016-09-16,799.02002,793.619995,797.969971,2130600
2016-09-19,801.109985,793.559998,795.390015,1146700
2016-09-20,800.0,798.26001,799.780029,1049200
2016-09-21,801.26001,796.030029,805.030029,1348500
2016-09-22,810.0,807.710022,815.950012,1759300
2016-09-23,815.140015,812.72998,814.960022,1411700
2016-09-26,809.820007,800.450012,802.650024,1472700
2016-09-27,801.830017,801.830017,810.72998,1367300
2016-09-28,804.080017,802.780029,810.059998,1470300
2016-09-29,807.22998,800.859985,802.640015,1350000
2016-09-30,803.599976,801.5,804.059998,1660200
2016-10-03,802.549988,796.22998,800.380005,1489200
2016-10-04,805.0,799.669983,802.789978,1258700
2016-10-05,806.0,800.710022,801.22998,1213800
2016-10-06,804.080017,800.51001,803.080017,1099900
2016-10-07,805.929993,796.820007,800.710022,1163100
2016-10-10,803.929993,802.23999,814.169983,1488500
2016-10-11,814.169983,807.369995,809.570007,1721600
2016-10-12,811.960022,808.549988,811.77002,907900
2016-10-13,806.070007,798.619995,804.080017,1369000
2016-10-14,807.450012,802.320007,804.599976,1111900
2016-10-17,805.98999,803.830017,806.840027,1056400
2016-10-18,814.210022,813.330017,821.48999,2273700
2016-10-19,822.880005,822.880005,826.840027,1500100
2016-10-20,827.559998,820.549988,821.630005,1393900
2016-10-21,820.0,818.309998,824.059998,1615800
2016-10-24,830.090027,829.039978,835.73999,1447600
2016-10-25,838.5,825.299988,828.549988,1890700
2016-10-26,827.119995,816.349976,822.099976,1794900
2016-10-27,823.01001,814.609985,817.349976,2973500
2016-10-28,829.940002,817.0,819.559998,4354900
2016-10-31,822.429993,808.0,809.900024,2242700
2016-11-01,810.869995,798.26001,805.47998,2355900
2016-11-02,806.76001,785.0,788.419983,2350700
2016-11-03,784.5,778.630005,782.190002,2175200
2016-11-04,771.299988,771.0,781.099976,1970600
2016-11-07,794.950012,792.900024,802.030029,1992600
2016-11-08,802.030029,799.619995,811.97998,1754700
2016-11-09,801.830017,792.039978,805.590027,3098500
2016-11-10,810.0,768.22998,780.289978,5909600
2016-11-11,776.809998,765.539978,771.75,3592600
2016-11-14,771.76001,743.590027,753.219971,3672000
2016-11-15,765.469971,765.219971,775.159973,2943900
2016-11-16,770.419983,766.330017,779.97998,1794300
2016-11-17,782.5,779.849976,786.159973,1533700
2016-11-18,787.169983,775.349976,775.969971,1806300
2016-11-21,778.099976,776.299988,784.799988,1630800
2016-11-22,788.98999,783.73999,785.0,1394200
2016-11-23,789.52002,772.650024,779.0,1310500
2016-11-25,782.609985,778.190002,780.22998,613500
2016-11-28,778.349976,778.099976,785.789978,2575400
2016-11-29,788.380005,785.340027,789.440002,1562000
2016-11-30,789.099976,773.150024,775.880005,2279100
2016-12-01,778.549988,753.359985,764.330017,2867100
2016-12-02,761.900024,759.0,764.460022,1718800
2016-12-05,770.0,766.969971,778.219971,1688500
2016-12-06,780.190002,773.320007,776.179993,1734100
2016-12-07,779.950012,773.530029,791.469971,2029400
2016-12-08,792.950012,787.909973,795.169983,1612500
2016-12-09,799.299988,798.049988,809.450012,1904500
2016-12-12,804.820007,804.530029,807.900024,1628600
2016-12-13,812.390015,811.940002,815.340027,2128200
2016-12-14,815.919983,812.780029,817.890015,1799700
2016-12-15,817.359985,812.0,815.650024,1769700
2016-12-16,818.309998,808.119995,809.840027,2589100
2016-12-19,809.280029,804.5,812.5,1263600
2016-12-20,813.369995,811.0,815.200012,1271900
2016-12-21,815.719971,805.099976,812.200012,1459600
2016-12-22,809.099976,806.030029,809.679993,1131600
2016-12-23,808.01001,805.109985,807.799988,764100
2016-12-27,808.679993,805.799988,809.929993,976000
2016-12-28,813.330017,802.440002,804.570007,1214800
2016-12-29,802.330017,798.140015,802.880005,1056500
2016-12-30,803.210022,789.619995,792.450012,1735900
2017-01-03,800.619995,796.890015,808.01001,1959000
2017-01-04,809.890015,804.109985,807.77002,1515300
2017-01-05,807.5,805.919983,813.02002,1340500
2017-01-06,814.98999,811.5,825.210022,2017100
2017-01-09,826.369995,821.619995,827.179993,1406800
2017-01-10,827.070007,823.140015,826.01001,1197400
2017-01-11,826.619995,821.469971,829.859985,1325400
2017-01-12,828.380005,821.01001,829.530029,1349500
2017-01-13,831.0,829.52002,830.940002,1290200
2017-01-17,830.0,823.200012,827.460022,1439700
2017-01-18,829.799988,824.080017,829.02002,1027700
2017-01-19,829.0,823.960022,824.369995,1070500
2017-01-20,829.090027,824.599976,828.169983,1306200
2017-01-23,831.609985,828.700012,844.429993,2457400
2017-01-24,846.97998,842.280029,849.530029,1688400
2017-01-25,853.549988,849.73999,858.450012,1655400
2017-01-26,859.049988,850.52002,856.97998,3493300
2017-01-27,859.0,841.900024,845.030029,3752500
2017-01-30,837.059998,821.030029,823.830017,3516900
2017-01-31,819.5,813.400024,820.190002,2020200
2017-02-01,824.0,812.25,815.23999,2251000
2017-02-02,815.0,812.049988,818.26001,1689200
2017-02-03,823.130005,819.349976,820.130005,1528100
2017-02-06,820.919983,814.289978,821.619995,1350900
2017-02-07,825.5,823.289978,829.22998,1666600
2017-02-08,830.530029,825.109985,829.880005,1302200
2017-02-09,831.72998,826.5,830.059998,1194200
2017-02-10,832.950012,830.51001,834.849976,1415100
2017-02-13,837.700012,836.25,838.960022,1295700
2017-02-14,839.77002,835.830017,840.030029,1296300
2017-02-15,838.809998,836.219971,837.320007,1357200
2017-02-16,838.5,837.26001,842.169983,1005100
2017-02-17,841.309998,839.780029,846.549988,1461200
2017-02-21,847.98999,846.549988,849.27002,1260300
2017-02-22,848.0,846.710022,851.359985,1224400
2017-02-23,851.080017,842.5,851.0,1386700
2017-02-24,847.650024,842.960022,847.809998,1346200
2017-02-27,844.950012,843.01001,849.669983,1010300
2017-02-28,847.349976,841.440002,844.929993,1383100
2017-03-01,851.380005,849.02002,856.75,1818700
2017-03-02,856.309998,848.719971,849.849976,1250900
2017-03-03,848.940002,844.710022,849.080017,1005000
2017-03-06,846.859985,841.169983,847.27002,1047900
